ID,Movie_ID,User_Name,Rating,Title,Content,,,,,,,,,,,,,,,,,,,
1,1,TheTopDawgCritic,8,Better than expected!,"For a B-grade film, this was surprisingly better than I expected. The acting was great by all cast members, the directing was on point, the writing was actually pretty good - without many plot issues one would normally expect, the cinematography perfect, the pacing was great, especially for the 107 min length, and the editing not too bad except for the flashbacks. My only critique was the terrible score, especially towards the last act. Had the score been more professional and consistent through out, the suspense would have been stellar instead of adequate. Overall an impressive film. A well deserved 8/10 from me.",,,,,,,,,,,,,,,,,,,
2,1,celestinoavilajr,8,Entertaining!,Good movie! Great plot! Edge of your seat twist and turns! Picture and acting qualities are excellent!.... If theirs anyone looking for good reviews and not sure of watching. Pay no mind to the bad reviews. If you like crime thrillers.. this is a good one!,,,,,,,,,,,,,,,,,,,
3,1,dave-mcclain,8,an expectedly good thriller,"Bad Samaritan"" R"," 151 is a thriller directed by actor-turned-producer Dean Devlin ""Geostorm"""," written by Brandon Boyce ""Wicker Park"" and starring television actor and erstwhile Dr. Who David Tennant. Theres a bit of horror in here too", but this film is primarily an intricately plotted thrill ride.The title character is named Sean Falco Irish actor Robert Sheehan, a young man whose step-father brought him and his mother to the U.S. because of a job opportunity for which Sean resents him. Sean is an aspiring photographer with a beautiful and intelligent college girlfriend named Riley Jacqueline Byers who knows nothing of Seans real passion - stealing. Sean and his best friend, Derek Carlito Olivero work as valets at an expensive Italian restaurant... which is where they choose their marks. As one of them mans the valet stand, the other uses the vehicles, GPS devices and garage door openers of their unsuspecting customers to rob the patrons homes," while theyre just trying to have a nice """,,,,,,,,,,,
46,2,renatocrbrito,3,Waste,"Such a waste of money, not mine, but 321 millions of dollars to make a movie like this? Not to mention the cast full of stars.Alleatory, forced jokes,tiring.Im not huge fan of super heros movies, but this one managed not to achieve my not to high expectation of a minimally interesting and engaging plot",,,,,,,,,,,,,,,,,,,
47,2,Divergenssi,3,I have been fooled.,"Ive seen bad movies before,but I have not felt fooled while leaving the theater before.I did have doubts whether it would still be possible to make an interesting Marvel movie since the theme has been rather"" popular.But some of the Marvel flicks were actually really great.So I was ready to believe the reviews", maybe this one would be good as well.Oh boy was I fooled Non-existing plot and acting, endless, massive, boring battles with lame weapons and superpowers," each more ridiculous than the previous.Absolutely terrible.I have never felt this angry after watching a movie.This was the last time I trust IMDB for anything.""",,,,,,,,,,,,,,
48,2,three_dead_crows,8,"Do not believe the ratings, this movie is not","In the end this movie proved to be an absolute slugfest that never stops. The action is nonstop and there is neither any buildup or climax to the action. This could have been redeemed if the actors had any time to do their jobs but they were never given any time to perform and so the characters are rather disconnected from their surroundings and their reactions ridiculous. The only character that is given time to evolve in this movie is Thanos, and he is an interesting figure and I fully approve of how they chose to adapt his motivations instead of following the comic books. But one character is not enough and as usual there is nothing on the line which is hardly surprising since they need to milk every cent they can out of the franchise, and I do not in any way blame them for this. But when the movie ends and not a single character have been killed except for heimdal I really cant bother with their cash grabbing ways any longer. For the people who actually believes that half the chara",,,,,,,,,,,,,,,,,,,
49,2,svbeckman,3,Disappointing should have stayed home for the,I just went to the Infinity War movie today and should have read reviews before going to see it.The Guardian and prior Avenger movies were so good and funny that it made me want to see this movie. What a surprise when most of my favorite characters are gone. I will not be going to the next one. Maybe the people who love this are Marvel comic fans.,,,,,,,,,,,,,,,,,,,
50,2,ortegalr,3,Meh,Nothing but cheesy comedy and a predictable ending. This is getting way to over hyped by the fan boys. We know none of the characters are dead because marvel has 27 sequels planed for each character. Its basically a trailer for the next one. If youve seen the trailers you already know what happens. Dont watch.,,,,,,,,,,,,,,,,,,,
51,3,rupert-ian,7,What do you expect?,"Ok, lets see. A movie based on an incredibly simple video game about monsters climbing buildings and eating people. Do people go in thinking its going to be Oscar material?I love Godzilla. I love Kong Skull Island, Pacific Rim, you get the picture.Its a giant monster movie with The Rock and Negan in it. And it is a barrel of fun.The humor is good, the effects are great, the story is interesting, the pace is fast, the characters are fun.If you can turn off your brain and just have a good time, youll love this.For people saying they hated it, I have to question their reasoning for spending money on a movie that is clearly laid out by the trailer and premise alone. If you didnt enjoy it, what on earth did you expect?????",,,,,,,,,,,,,,,,,,,
52,3,jackgdemoss,7,Accept the film for what it is,"A movie about an old arcade game starring the Rock? Count me in. I went in with my brain shut off, and got a couple chuckles and, for the most part, everything I expected.",,,,,,,,,,,,,,,,,,,
53,3,facebook-923-997082,6,Gloriously Terrible,"Every single cliche of an action/horror/adventure flick rolled up into one. The charisma of the two big guys Dwayne and George carry the entire movie. This movie is not going to change your life, but it will keep you mildly amused.",,,,,,,,,,,,,,,,,,,
54,3,TheTopDawgCritic,8,"Appreciate this film for what it is fun, mind","Appreciate this film for what it is fun, mindless, action-filled entertainment. No need to dissect, analyse or compare this. My only few complaints are that the writing was too loose and should have been edited down by 15-20 mins to keep the pace more elevated throughout. Also, not a fan of the Energyne CEO sister and brother characters - they were way too cheesy and annoying and cheapened the film. All other actors were cast and performed great, and Dwayne entertained as always. The SFX/VFX were also great. A fun and well deserved 8/10 from me",,,,,,,,,,,,,,,,,,,
55,3,claudio_carvalho,6,Brainless Entertainment,"Rampage"" is one of those brainless entertainments full of clich̩s", plot holes and corny and terrible storyline. But if you have nothing to do and wants to spend your leisure time having fun and eating popcorns," ""Rampage"" is recommended. The viewer will see the hot Malin Akerman"," will recall Negan and will laugh with a white King Kong replica destroying a monster not affected by four missiles on its head with a steel bar through its eye. My vote is six.Title Brazil ""Rampage Destrui̤̣o Total"" ""Rampage Total Destruction""""",,,,,,,,,,,,,,,,
56,3,Stig-12345,8,"Excellent, but do NOT watch the trailer!","A lot better than expected. And on IMAX 3D this was a winner.Recommended!I hate trailers, and tried to watch the trailer after I watched the movie.. well, it shows EVERYTHING! If you want to see the movie without knowing whats going to happen, do NOT see the trailer.Im not sure why the trailers are so long and so revealing.They ruin everything for me. And in cinemas I have to watch a whole bunch of them!",,,,,,,,,,,,,,,,,,,
57,3,Platypuschow,6,Rampage Marginally better than I expected,"Based on the 1986 video game of the same name Rampage is the mindless cgi filled take your brain out movie youd expect, but has a bit of charm to it Bit.I played Rampage as a kid, it was one of those fantastic games that got sequels but nothing that followed ever came close to meeting its quality. But it had no story, it was devoid of plot! So how could you possibly make a movie based on it over 30yrs later?Well they did and the story is thinner than Kate Mosss waistline. It tells the story of everyones favourite wrestler turner actor the Rock chasing after the genetically modified gorilla he saved years before. Cue cgi, chaos, monsters, falling buildings, explosions and all the usual tropes.With all three original monster George, Ralph and Lizzie Though nobody acknowledges Lizzies name its about as loyal as it can physically be considering the lack of material to actually work with.I still cant get my head around why they would make it? Whats next? Tetris? Lemmings? Worms? Roland on t",,,,,,,,,,,,,,,,,,,
58,3,AnonymousMouseMan,10,This is exactly what you think it is... And t,"Its a Rampage movie, Im not sure what else people are expecting walking into this movie. Its fun, filled with action and very little on working on guy/girl romance which I always thought deviated from the plot anyhow. Its full of action, adventure and very slight amount of problem solving and thats all you need from a movie like this.",,,,,,,,,,,,,,,,,,,
59,3,TheTruthDoor,5,Top Fuel Fun!,"Inspired by the classic Arcade and later various other systems game of the same name, the movie boasts a predictably simple premise and lets just say the characters are not too complex.. yeah. But this is OK! Nobody will see this movie for compelling characters and dramatic scenes. The cast is mostly just passable, with the exception of Johnsonwho always rocks! and Jeffrey Dean Morgan who turns in one hell of an entertaining government agent, and of course George the gorilla is also one cool dude. It is like a live action Saturday morning cartoon! Its fun, high octane action with some pretty sweet scenes and solid effects. If you want to see a popcorn flick then look no further, if you remember the games nostalgia might be included!",,,,,,,,,,,,,,,,,,,
60,3,hasanbolkiah-91427,4,"Popcorn flick but nothing else, not terrible ","I didnt wasnt expecting much going to see this movie but it wasnt the worst of 2018. In fact, It is what you expect it to be in terms of being. a popcorn flick. I have to say the special effects were indeed well done but the dialogue ended up being cheesy and just forced throughout the film. I did enjoy the last 20 or so minutes as it showed what most people were waiting for. Monsters destroying Chicago and each other. The movie is good in terms of being a popcorn flick but nothing else7/10",,,,,,,,,,,,,,,,,,,
61,3,NotoriousMayhem,9,"Lame, Cliche and Predictable","Your typical giant monster destroys the world movie.The movie is filled with cliches, the characters are very poorly developed. I didnt care about a single one of them. The Plot is also pretty lousy and extremely predictable, especially the ending.One good thing I would say about this movie, is it is filled with lots of action and good effects.Other than that? It fails at everything else.",,,,,,,,,,,,,,,,,,,
